order_id,transaction_type,conduct_type,notification_issue,gun_jumping_type,voluntary_disclosure,cooperation,mitigating_factors,aggravating_factors,penalty_rationale,legal_issue_summary,outcome_summary,transaction_value,delay_duration_days,date_of_closing,date_of_notification,closed_before_approval,control_exercised_before_approval,information_rights_exercised,penalty_reduced,intelligence_source_page,intelligence_source_text,intelligence_issues
CCI-1146,Amalgamation,Failure to notify,"In view of the foregoing, it emerges that Allcargo, by acquisition of shares of GATI without filing a notice with the Commission in terms of Section 6(2) of the Act prior to acquisition, has contravened the provisions of Section 6(2A) of the Act, and hence, is liable to a penalty under Section 43A of the Act, which reads as under: “If any person or enterprise who fails to give notice to the Commission under sub- section (2) of Section 6, the Commission shall impose on such person or enterprise a penalty which may extend to one per cent of the total turnover or assets, whichever is higher, of such a combination",Failure to notify,,Full,mitigating factors.,,"2. Thus, considering the facts and circumstances of the case and the conduct of Allcargo, the Commission decides to take a lenient view and imposes a penalty of INR Twenty Lakhs (INR 20,00,000/-) on Allcargo. Allcargo shall pay the penalty within 60 days from the date of receipt of this order 23. The Secretary is directed to inform Allcargo","Proceedings against Allcargo Logistics Limited under Section 43A of the Competition Act, 2002 CORAM: Mr","2. Thus, considering the facts and circumstances of the case and the conduct of Allcargo, the Commission decides to take a lenient view and imposes a penalty of INR Twenty Lakhs (INR 20,00,000/-) on Allcargo. Allcargo shall pay the penalty within 60 days from the date of receipt of this order 23. The Secretary is directed to inform Allcargo",,,,,,,,Yes,6,"rior to acquisition, has contravened the provisions of Section 6(2A) of the Act, and hence, is liable to a penalty under Section 43A of the Act, which reads as under: “If any person or enterprise who fails to give notice to the Commission under sub- section (2) of Section 6, the Commission shall impose on such person or enterprise a penalty which may extend to one per cent of the total turnover or assets, whichever i",
CCI-340,Amalgamation,Pre-closing consummation,"It was noted by the Commission that TPCL should have filed the notice for approval of the Commission on the acceptance of the LOI; however, it proceeded to consummate the Combination without doing so",Pre-closing consummation,,Full,mitigating factors.,,"closed by TPCL, who have extended full cooperation in furnishing the information, the Commission decides to take a lenient view and imposes a nominal penalty of INR Five Lakhs (INR 5,00,000/-) on TPCL. TPCL shall pay the penalty within 60 days from the date of receipt of this order. 28. The Secretary is directed to communicate to TPCL ac","Proceedings against Tata Power Company Limited under Section 43A of the Competition Act, 2002 CORAM: Mr","closed by TPCL, who have extended full cooperation in furnishing the information, the Commission decides to take a lenient view and imposes a nominal penalty of INR Five Lakhs (INR 5,00,000/-) on TPCL. TPCL shall pay the penalty within 60 days from the date of receipt of this order. 28. The Secretary is directed to communicate to TPCL ac",,,,,Yes,,,Yes,4,"en consummated before filing of the notice. It was noted by the Commission that TPCL should have filed the notice for approval of the Commission on the acceptance of the LOI; however, it proceeded to consummate the Combination without doing so. Thus, the Commission was of the prima facie view that TPCL had not only failed to give notice of the combination within the stipulated time under Section 6(2) of the Act but also consummate",
CCI-344,Amalgamation,Pre-closing consummation,"It was noted by the Commission that TPCL should have filed the notice for approval of the Commission on the acceptance of the LOI; however, it proceeded to consummate the Combination without doing so",Pre-closing consummation,,Full,mitigating factors.,,"closed by TPCL, who have extended full cooperation in furnishing the information, the Commission decides to take a lenient view and imposes a nominal penalty of INR Five Lakhs (INR 5,00,000/-) on TPCL. TPCL shall pay the penalty within 60 days from the date of receipt of this order. 28. The Secretary is directed to communicate to TPCL ac","Proceedings against Tata Power Company Limited under Section 43A of the Competition Act, 2002 CORAM: Mr","closed by TPCL, who have extended full cooperation in furnishing the information, the Commission decides to take a lenient view and imposes a nominal penalty of INR Five Lakhs (INR 5,00,000/-) on TPCL. TPCL shall pay the penalty within 60 days from the date of receipt of this order. 28. The Secretary is directed to communicate to TPCL ac",,,,,Yes,,,Yes,4,"en consummated before filing of the notice. It was noted by the Commission that TPCL should have filed the notice for approval of the Commission on the acceptance of the LOI; however, it proceeded to consummate the Combination without doing so. Thus, the Commission was of the prima facie view that TPCL had not only failed to give notice of the combination within the stipulated time under Section 6(2) of the Act but also consummate",
CCI-234,Amalgamation,Pre-closing consummation,"It was noted by the Commission that TPCL should have filed the notice for approval of the Commission on the acceptance of the LOI; however, it proceeded to consummate the Combination without doing so",Pre-closing consummation,,Full,mitigating factors.,,"closed by TPCL, who have extended full cooperation in furnishing the information, the Commission decides to take a lenient view and imposes a nominal penalty of INR Five Lakhs (INR 5,00,000/-) on TPCL. TPCL shall pay the penalty within 60 days from the date of receipt of this order. 29. The Secretary is directed to communicate to TPCL ac","Proceedings against Tata Power Company Limited under Section 43A of the Competition Act, 2002 CORAM: Mr","closed by TPCL, who have extended full cooperation in furnishing the information, the Commission decides to take a lenient view and imposes a nominal penalty of INR Five Lakhs (INR 5,00,000/-) on TPCL. TPCL shall pay the penalty within 60 days from the date of receipt of this order. 29. The Secretary is directed to communicate to TPCL ac",,,,,Yes,,,Yes,4,"en consummated before filing of the notice. It was noted by the Commission that TPCL should have filed the notice for approval of the Commission on the acceptance of the LOI; however, it proceeded to consummate the Combination without doing so. Thus, the Commission was of the prima facie view that TPCL had not only failed to give notice of the combination within the stipulated time under Section 6(2) of the Act but also consummate",
CCI-347,Amalgamation,Failure to notify,"The Commission was of the prima facie view that the Clause may have had the impact of consummating a part of the Combination before the expiry of the period specified under Section 6(2A) of the Act, and by agreeing to the same, the Acquirer failed to file notice in terms of Section 6(2) of the Act",Failure to notify,,,,,"ns/arrangements in general and specific to the information exchange and as regards the quantum of penalty, the Commission decided to impose a nominal penalty of INR 5,00,000/- (INR Five lakh only) on AGEL. AGEL shall pay the penalty within 60 days from the date of receipt of this order. 61. The Secretary is directed to in","Proceedings against Adani Green Energy Limited under Section 43A of the Competition Act, 2002 CORAM: Mr","ns/arrangements in general and specific to the information exchange and as regards the quantum of penalty, the Commission decided to impose a nominal penalty of INR 5,00,000/- (INR Five lakh only) on AGEL. AGEL shall pay the penalty within 60 days from the date of receipt of this order. 61. The Secretary is directed to in",,,,,,,,Yes,4,"w that the Clause may have had the impact of consummating a part of the Combination before the expiry of the period specified under Section 6(2A) of the Act, and by agreeing to the same, the Acquirer failed to file notice in terms of Section 6(2) of the Act. Accordingly, the Commission issued SCN under Section 43A of the Act on 14th August 2021. 8. The observations of the Commission in the SCN are as under: i. The pur",
CCI-1099,Joint Venture,Failure to notify,"As per section 43A of the Act, failure to file notice in terms of the provisions of sub-section (2) of Section 6 of the Act is liable for penalty",Failure to notify,,,,,"COMPETITION COMMISSION OF INDIA Fair Competition For Greater Good C-2014/06/181 Page 7 of 7 Commission considered it appropriate to impose a nominal penalty of INR 3,00,00,000 (INR Three Crores only) on the Acquirers. The Acquirers shall pay the penalty within sixty (60) days from the date of receipt of this order. 13. The",,"COMPETITION COMMISSION OF INDIA Fair Competition For Greater Good C-2014/06/181 Page 7 of 7 Commission considered it appropriate to impose a nominal penalty of INR 3,00,00,000 (INR Three Crores only) on the Acquirers. The Acquirers shall pay the penalty within sixty (60) days from the date of receipt of this order. 13. The",,,,,,,,Yes,2,"em 1 of Schedule I to the Combination Regulations. However, the Acquirers did not file a notice in terms of sub-section (2) of Section 6 of the Act for the Acquisition. As per section 43A of the Act, failure to file notice in terms of the provisions of sub-section (2) of Section 6 of the Act is liable for penalty. Therefore, the Commission in its meeting held on 4th September 2014, decided to initiate penalty proceedin",
CCI-1138,Amalgamation,Failure to notify,"In view of the above, under Sections 43A, 44 and 45 of the Act read with Regulation 48 of the Competition Commission of India (General) Regulations, 2009 you are being issued this show cause notice to explain, in writing, as to why you shall not be found to have: (a) failed to give notice in respect of FRL SHA; and (b) furnished false and incorrect information; and concealed/ suppressed material facts, in contravention of the said provisions of the Act and in which case, why no action including penalty in terms of Sections 43A, 44 and 45 of the Act, as the case may be, shall be imposed upon you",Failure to notify,,,mitigating factor.,,"tal turnover or the assets, whichever is higher, of such a combination. Accordingly, for the above mentioned reasons, the Commission hereby imposes a penalty of INR Two Hundred Crore upon Amazon. Page 57 of 57 84. Amazon is directed to pay monetary penalty as imposed vide paras 82 and 83 above, within a period of 60 days from the receipt of t",,"tal turnover or the assets, whichever is higher, of such a combination. Accordingly, for the above mentioned reasons, the Commission hereby imposes a penalty of INR Two Hundred Crore upon Amazon. Page 57 of 57 84. Amazon is directed to pay monetary penalty as imposed vide paras 82 and 83 above, within a period of 60 days from the receipt of t",,,,,,,,No,11,"with Regulation 48 of the Competition Commission of India (General) Regulations, 2009 you are being issued this show cause notice to explain, in writing, as to why you shall not be found to have: (a) failed to give notice in respect of FRL SHA; and (b) furnished false and incorrect information; and concealed/ suppressed material facts, in contravention of the said provisions of the Act and in which case, why no action",
CCI-1140,Acquisition,Failure to notify,"Accordingly, Investcorp India, being acquirers, failed to give notice to the Commission in terms of Section 6(2) of the Act",Failure to notify,,Full,,,"aterial/documents formed the basis of the above findings of contravention. Keeping these in mind, the Commission considers it appropriate to impose a penalty of INR Twenty Lakh on Investcorp India. Investcorp India shall pay the penalty within 60 days from the date of receipt of this order. 22. The Secretary is directed to inform Investcorp Ind","Proceedings against Investcorp India Asset Managers Private Limited under Section 43A of the Competition Act, 2002 CORAM: Mr","aterial/documents formed the basis of the above findings of contravention. Keeping these in mind, the Commission considers it appropriate to impose a penalty of INR Twenty Lakh on Investcorp India. Investcorp India shall pay the penalty within 60 days from the date of receipt of this order. 22. The Secretary is directed to inform Investcorp Ind",,,,,,,,,9,"Alternatives by Investcorp India was a combination in terms of Section 5 of the Act and de minimis exemption was not available in relation to the same. Accordingly, Investcorp India, being acquirers, failed to give notice to the Commission in terms of Section 6(2) of the Act. 20. In terms of Section 43A of the Act, if any person or enterprise fails to give notice under Section 6(2) of the Act, the Commission shall imp",
CCI-1137,Merger,Failure to notify,"Whether Transaction I and Transaction II are inter-connected to each other and if so, whether CPPIB and Renew failed to give notice in respect of Transaction II, in terms of Section 6(2) of the Act read with Regulations 5, 9(4) and 9(5) of the Combination Regulations; and 11",Failure to notify,,Full,,,,"Proceedings against Canada Pension Plan Investment Board and ReNew Power Limited under Chapter VI of the Competition Act, 2002 CORAM: Mr",,,,,,,,,,10,"on record. The issues that arise for determination of the Commission are as under: 11.1. Whether Transaction I and Transaction II are inter-connected to each other and if so, whether CPPIB and Renew failed to give notice in respect of Transaction II, in terms of Section 6(2) of the Act read with Regulations 5, 9(4) and 9(5) of the Combination Regulations; and 11.2. If the facts and developments regarding Transaction",
CCI-439,Acquisition,Failure to notify,"Based on the aforesaid, the Commission formed a prima facie opinion that the ER Clause may have the impact of consummating a part of the Combination before the expiry of period specified under Section 6(2A) of the Act and by agreeing to the same, Airtel has failed to file notice in terms of Section 6(2) of the Act",Failure to notify,,,mitigating factor.,,"approved the Combination on 16.11.2018) as a mitigating factor. In view of the foregoing, the Commission considers it appropriate to impose a nominal penalty of INR 10,00,000/- (INR Ten Lakhs only) on Airtel. COMPETITION COMMISSION OF INDIA (Combination Registration No. C-2017/10/531) Page 15 of 15 Fair Competition For Gre",proceedings under Section 43A of the Act,"approved the Combination on 16.11.2018) as a mitigating factor. In view of the foregoing, the Commission considers it appropriate to impose a nominal penalty of INR 10,00,000/- (INR Ten Lakhs only) on Airtel. COMPETITION COMMISSION OF INDIA (Combination Registration No. C-2017/10/531) Page 15 of 15 Fair Competition For Gre",,,,,,,,Yes,3,"e opinion that the ER Clause may have the impact of consummating a part of the Combination before the expiry of period specified under Section 6(2A) of the Act and by agreeing to the same, Airtel has failed to file notice in terms of Section 6(2) of the Act. Accordingly, a show cause notice was issued COMPETITION COMMISSION OF INDIA (Combination Registration No. C-2017/10/531) Page 3 of 15 Fair Competition For Greater",
CCI-435,Acquisition,Failure to notify,"The SCN required the Acquirers to show cause, in writing, within 15 days of receipt of the same, as to why penalty, in terms of Section 43A of the Act, should not be imposed on them for failure to file notice of the Combination in accordance with Section 6(2) of the Act and consummating a part of the Combination before expiry of time period stipulated under Section 6(2A) of the Act",Failure to notify,,Partial,,,"all the information and cooperated fully with the Commission. In view of the foregoing, the Commission considered it appropriate to impose a nominal penalty of INR 10,00,000/- (Indian Rupees Ten Lakhs only) on the Acquirers. 19. The Acquirers shall pay the penalty within sixty (60) days from the date of receipt of this or",proceedings under Section 43A of the Act,"all the information and cooperated fully with the Commission. In view of the foregoing, the Commission considered it appropriate to impose a nominal penalty of INR 10,00,000/- (Indian Rupees Ten Lakhs only) on the Acquirers. 19. The Acquirers shall pay the penalty within sixty (60) days from the date of receipt of this or",,,,,,,,Yes,2,"ns”) (“SCN”). The SCN required the Acquirers to show cause, in writing, within 15 days of receipt of the same, as to why penalty, in terms of Section 43A of the Act, should not be imposed on them for failure to file notice of the Combination in accordance with Section 6(2) of the Act and consummating a part of the Combination before expiry of time period stipulated under Section 6(2A) of the Act. The Acquirers filed th",
CCI-432,Share Purchase,Failure to notify,"If any person or enterprise who fails to give notice to the Commission under sub- section (2) of section 6, the Commission shall impose on such person or enterprise a penalty which may extend to one percent, of the total turnover or the assets, whichever is higher, of such a combination",Failure to notify,Yes,Full,"mitigating factors and considers it appropriate to impose a nominal penalty of INR 10,00,000/- (Indian Rupees Ten Lakhs only) on ATL.",,", who have extended full cooperation in furnishing the information taken these as mitigating factors and considers it appropriate to impose a nominal penalty of INR 10,00,000/- (Indian Rupees Ten Lakhs only) on ATL. 11. The Acquirers shall pay the penalty within sixty (60) days from the date of receipt of this order. 12. T",proceedings under Section 43A of the Act,", who have extended full cooperation in furnishing the information taken these as mitigating factors and considers it appropriate to impose a nominal penalty of INR 10,00,000/- (Indian Rupees Ten Lakhs only) on ATL. 11. The Acquirers shall pay the penalty within sixty (60) days from the date of receipt of this order. 12. T",,,,,,,,Yes,7,"f 11 notice in terms of Section 6(2) of the Act. Section 43A of the Act reads as under: “Power to impose penalty for non-furnishing of information on combinations 43A. If any person or enterprise who fails to give notice to the Commission under sub- section (2) of section 6, the Commission shall impose on such person or enterprise a penalty which may extend to one percent, of the total turnover or the assets, whichev",
CCI-1121,Amalgamation,Failure to notify,"Accordingly, separate show cause notices under Section 43A of the Act read with Regulation 48 of the Competition Commission of India (General) Regulations, 2009 (“General Regulations”) were issued for failure to file notice under Section 6(2) of the Act, to Telenor for Telenor Share Transaction – Tranche 1 and Telenor Share Transaction – Tranche 2 and to Telenor India for Uninor Business Transaction",Failure to notify,,Partial,Mitigating factors 12.,,"ing a notice with the Commission under Section 6(2) of the Act. In view of the foregoing, the Commission considers it appropriate to impose a nominal penalty of INR 5,00,000/- (INR Five Lakhs only) on Telenor. 26. Telenor shall pay the penalty within sixty (60) days from the date of receipt of this order. 27. The Secretar","Proceedings under Section 43A of the Competition Act, 2002 against Telenor ASA, Telenor (India) Communications Private Limited and Telenor South Asia Investments Pte Limited CORAM: Mr","ing a notice with the Commission under Section 6(2) of the Act. In view of the foregoing, the Commission considers it appropriate to impose a nominal penalty of INR 5,00,000/- (INR Five Lakhs only) on Telenor. 26. Telenor shall pay the penalty within sixty (60) days from the date of receipt of this order. 27. The Secretar",,,,,,,,Yes,5,"ccordingly, separate show cause notices under Section 43A of the Act read with Regulation 48 of the Competition Commission of India (General) Regulations, 2009 (“General Regulations”) were issued for failure to file notice under Section 6(2) of the Act, to Telenor for Telenor Share Transaction – Tranche 1 and Telenor Share Transaction – Tranche 2 and to Telenor India for Uninor Business Transaction. The show cause noti",
CCI-1089,Amalgamation,Failure to notify,"In order to enforce above provisions, including the ex-ante obligation of the parties thereunder, Section 43A was inserted into the Act, by way of an amendment in 2007, to empower the Commission to impose penalty in cases where parties fail to give notice in terms of Section 6(2) of the Act",Failure to notify,Yes,Full,mitigating factor while levying penalty under Section 43A of the Act.,,"sion has taken these as mitigating factors and considers it appropriate to impose a Combination Reg. No. C-2016/04/387 (S. 43A) Page 13 of 13 nominal penalty of INR 5,00,000/- (Indian Rupees Five Lakhs only) on the Acquirer, which is only 0.14% of the maximum penalty that could be imposed. 10. The Acquirers shall pay the",proceedings under Section 43A of the Act,"sion has taken these as mitigating factors and considers it appropriate to impose a Combination Reg. No. C-2016/04/387 (S. 43A) Page 13 of 13 nominal penalty of INR 5,00,000/- (Indian Rupees Five Lakhs only) on the Acquirer, which is only 0.14% of the maximum penalty that could be imposed. 10. The Acquirers shall pay the",17000000.0,,,,,,,Yes,9,", including the ex-ante obligation of the parties thereunder, Section 43A was inserted into the Act, by way of an amendment in 2007, to empower the Commission to impose penalty in cases where parties fail to give notice in terms of Section 6(2) of the Act. The text of Section 43A reads as under: “Power to impose penalty for non-furnishing of information on combinations 43A. If any person or enterprise who fails to g",
CCI-441,Amalgamation,Delayed notification,"Therefore, penalizing RJIO for a delay in filing the notice would be unfair and excessive",Delayed notification,Yes,Partial,Mitigating factors 7.,,"N COMMISSION OF INDIA (Combination Registration No. C-2017/06/516) Page 28 of 28 Fair Competition For Greater Good it appropriate to impose a nominal penalty of INR 5,00,000/- (INR Five Lakhs only) on the Acquirer. 44. The Acquirer shall pay the penalty within sixty (60) days from the date of receipt of this order. 45. Th",,"N COMMISSION OF INDIA (Combination Registration No. C-2017/06/516) Page 28 of 28 Fair Competition For Greater Good it appropriate to impose a nominal penalty of INR 5,00,000/- (INR Five Lakhs only) on the Acquirer. 44. The Acquirer shall pay the penalty within sixty (60) days from the date of receipt of this order. 45. Th",,,,,,,,Yes,13,"tries Limited, the parent of RJIO has a comprehensive competition compliance policy in place and endeavours to be in compliance with the Competition Act at all times. Therefore, penalizing RJIO for a delay in filing the notice would be unfair and excessive. Any penalty would cause severe damage to RJIO’s reputation, which as a new entrant to the market has brought huge pro-competitive benefits to the telecom sec",
CCI-443,Amalgamation,Failure to notify,"2017 was issued to the Acquirers to show cause, in writing, within 15 days of the receipt of SCN as to why penalty, in terms of Section 43A of the Act should not be imposed on them for failure to file notice for the Spectrum Transaction within the stipulated time under the provisions of the Act and consummating the Spectrum Transaction before expiry of timelines as provided in Section 6(2A) of the Act",Failure to notify,Yes,Partial,mitigating factors/circumstances: i.,,"some uncertainty as regards coverage of the same under the Act. In view of the foregoing, the Commission considers it appropriate to impose a nominal penalty of INR 5,00,000/- (INR Five Lakhs only) on the Acquirers. 40. The Acquirers shall pay the penalty within sixty (60) days from the date of receipt of this order. 41.",,"some uncertainty as regards coverage of the same under the Act. In view of the foregoing, the Commission considers it appropriate to impose a nominal penalty of INR 5,00,000/- (INR Five Lakhs only) on the Acquirers. 40. The Acquirers shall pay the penalty within sixty (60) days from the date of receipt of this order. 41.",,,,,,,,Yes,3,"”) dated 14.09.2017 was issued to the Acquirers to show cause, in writing, within 15 days of the receipt of SCN as to why penalty, in terms of Section 43A of the Act should not be imposed on them for failure to file notice for the Spectrum Transaction within the stipulated time under the provisions of the Act and consummating the Spectrum Transaction before expiry of timelines as provided in Section 6(2A) of the Act. T",
CCI-448,Amalgamation,Failure to notify,"2017 was issued to Airtel to show cause, in writing, within 15 days of the receipt of SCN as to why penalty, in terms of Section 43A of the Act should not be imposed on it for failure to file notice for the Spectrum Transaction within the stipulated time under the provisions of the Act and consummating the Spectrum Transaction before expiry of timelines as provided in Section 6(2A) of the Act",Failure to notify,Yes,Partial,mitigating factors/circumstances: i.,,"uncertainty as regards notification requirement under the Act. In view of the foregoing, the Commission considers it appropriate to impose a nominal penalty of INR 5,00,000/- (INR Five Lakhs only) on the Acquirer. 40. The Acquirer shall pay the penalty within sixty (60) days from the date of receipt of this order. 41. Th",,"uncertainty as regards notification requirement under the Act. In view of the foregoing, the Commission considers it appropriate to impose a nominal penalty of INR 5,00,000/- (INR Five Lakhs only) on the Acquirer. 40. The Acquirer shall pay the penalty within sixty (60) days from the date of receipt of this order. 41. Th",,,,,,,,Yes,3,"ice (“SCN”) dated 14.09.2017 was issued to Airtel to show cause, in writing, within 15 days of the receipt of SCN as to why penalty, in terms of Section 43A of the Act should not be imposed on it for failure to file notice for the Spectrum Transaction within the stipulated time under the provisions of the Act and consummating the Spectrum Transaction before expiry of timelines as provided in Section 6(2A) of the Act. T",
CCI-1136,Amalgamation,Failure to notify,"Based on the said information, the Commission, in its meeting held on 4th February, 2016, decided to initiate penalty proceedings under Section 43A of the Act against IDAL for failing to give notice to the Commission under Sub-section (2) of Section 6 of the Act",Failure to notify,,,,,"e imposed. However, considering the totality of the facts of the case and explanation given by IDAL, the Commission deemed it appropriate to impose a penalty of INR 10,00,000/- lakh (INR ten lakh only) on IDAL. 15. IDAL shall pay the penalty within sixty (60) days from the date of receipt of this order. 16. The Secretary i","proceedings under Section 43A of the Competition Act, 2002 against against Intellect Design Arena Limited CORAM: Mr","e imposed. However, considering the totality of the facts of the case and explanation given by IDAL, the Commission deemed it appropriate to impose a penalty of INR 10,00,000/- lakh (INR ten lakh only) on IDAL. 15. IDAL shall pay the penalty within sixty (60) days from the date of receipt of this order. 16. The Secretary i",,,,,,,,No,2,"ge 2 of 8 Background 2. Based on the said information, the Commission, in its meeting held on 4th February, 2016, decided to initiate penalty proceedings under Section 43A of the Act against IDAL for failing to give notice to the Commission under Sub-section (2) of Section 6 of the Act. Accordingly, a Show Cause Notice dated 23rd February, 2016 (“SCN”) was issued to IDAL, directing it to show cause in writing, within 1",
CCI-1101,Acquisition,Failure to notify,C-2015/02/246) Page 3 of 15 Fair Competition For Greater Good has failed to give notice in accordance with Section 6(2) of the Act,Failure to notify,,Partial,,,"and that the Acquirer has cooperated fully with the Commission. In view of the foregoing, the Commission considers it appropriate to impose a nominal penalty of INR 10,00,000/- (INR Ten Lakhs only) on the Acquirer. 19. The Acquirer shall pay the penalty within sixty (60) days from the date of receipt of this order. 20. The",proceedings under Section 43A of the Act,"and that the Acquirer has cooperated fully with the Commission. In view of the foregoing, the Commission considers it appropriate to impose a nominal penalty of INR 10,00,000/- (INR Ten Lakhs only) on the Acquirer. 19. The Acquirer shall pay the penalty within sixty (60) days from the date of receipt of this order. 20. The",,,,,,,,Yes,3,"ination without the approval of the Commission and therefore, UltraTech COMPETITION COMMISSION OF INDIA (Combination Registration No. C-2015/02/246) Page 3 of 15 Fair Competition For Greater Good has failed to give notice in accordance with Section 6(2) of the Act. Accordingly, a show cause notice was issued to UltraTech on 23.04.2015 under Section 43A of the Act read with Regulation 48 of the Competition Commission o",
CCI-1102,Acquisition,Failure to notify,"The SCN required the Acquirer to show cause, in writing, within 15 days of receipt of the same, as to why penalty, in terms of Section 43A of the Act, should not be imposed on it for failure to file notice of the Combination in accordance with Section 6(2) of the Act",Failure to notify,,Partial,,,"rupees fifty lakhs and a maximum penalty of rupees one crore. Considering the facts of the case, the Commission considers it appropriate to impose a penalty of INR 50,00,000/- (INR Fifty Lakhs only) on the Acquirer. 15. The Acquirer shall pay the penalty within sixty (60) days from the date of receipt of this order. 16. T",proceedings under Section 43A of the Act,"rupees fifty lakhs and a maximum penalty of rupees one crore. Considering the facts of the case, the Commission considers it appropriate to impose a penalty of INR 50,00,000/- (INR Fifty Lakhs only) on the Acquirer. 15. The Acquirer shall pay the penalty within sixty (60) days from the date of receipt of this order. 16. T",,,,,,,,No,2,"r on 23.04.2015. The SCN required the Acquirer to show cause, in writing, within 15 days of receipt of the same, as to why penalty, in terms of Section 43A of the Act, should not be imposed on it for failure to file notice of the Combination in accordance with Section 6(2) of the Act. The Acquirer filed its reply to the SCN on 22.05.2015 (“Response to S. 43A SCN”) along with a request for oral hearing, in terms of Regu",
CCI-451,Amalgamation,Delayed notification,"2 The breach was technical in nature: The Parties have stated that any non- compliance was only in regard of a delayed filing, which would only be of C-2017/05/508 Page 5 of 7 a technical or procedural nature as any technical failure of the Parties to notify the transaction arose from a different understanding of law",Delayed notification,,,mitigating factors: 7.,,"ling notice and sought lenient view and pleaded for no penalty. In view of the foregoing the Commission considered it appropriate to impose a nominal penalty of INR 1,00,000/- (INR One Lakh Only) on the Parties. 11. The Parties shall pay the penalty within sixty (60) days from the date of receipt of this order. C-2017/05/",proceedings under Section 43A of the Act,"ling notice and sought lenient view and pleaded for no penalty. In view of the foregoing the Commission considered it appropriate to impose a nominal penalty of INR 1,00,000/- (INR One Lakh Only) on the Parties. 11. The Parties shall pay the penalty within sixty (60) days from the date of receipt of this order. C-2017/05/",,,,,,,,Yes,5,"voluntarily submitted a notice within 15 working days of the PFC for seeking approval. 7.2 The breach was technical in nature: The Parties have stated that any non- compliance was only in regard of a delayed filing, which would only be of C-2017/05/508 Page 5 of 7 a technical or procedural nature as any technical failure of the Parties to notify the transaction arose from a different understanding of law. 7.3 T",
CCI-454,Amalgamation,Delayed notification,"22 As regards the contention of the Acquirer that it acted in a bona fide manner and there was no wilful failure, the Commission notes that in the instant case the Acquirer has not only delayed in filing a notice with the Commission but rather failed to file the notice with the Commission",Delayed notification,Yes,,,,"However, considering the totality of the facts of the case and the submissions made by the Acquirer, the Commission deems it appropriate to impose a penalty of Rs. 5,00,000/- (Rupees Five Lacs Only) on the Acquirer. C-2017/02/485 Page 28 of 28 18. The Acquirer shall pay the penalty within sixty (60) days from the date of",proceedings under the C-2017/02/485 Page 3 of 28 provisions of the Act,"However, considering the totality of the facts of the case and the submissions made by the Acquirer, the Commission deems it appropriate to impose a penalty of Rs. 5,00,000/- (Rupees Five Lacs Only) on the Acquirer. C-2017/02/485 Page 28 of 28 18. The Acquirer shall pay the penalty within sixty (60) days from the date of",,,,,,,,No,24,"ommission. 11.22 As regards the contention of the Acquirer that it acted in a bona fide manner and there was no wilful failure, the Commission notes that in the instant case the Acquirer has not only delayed in filing a notice with the Commission but rather failed to file the notice with the Commission. In the event that the Commission would not have taken suo moto cognizance of the combination, it would have esca",
CCI-1118,Amalgamation,Failure to notify,"In view of the above, the Commission was of the prima facie opinion that FCEL not only failed to give notice of the combination within the time stipulated under sub-section (2) of Section 6 of the Act but also consummated the same, in contravention of sub-section (2) of Section 6 read with sub-section (2A) of Section 6 of the Act",Failure to notify,Yes,,mitigating factors such as there was no intention on the part of FCEL to conceal the transaction and any failure on the part of FCEL was inadvertent.,,".]. However, considering the totality of the facts of the case and explanation given by the Parties, the Commission deemed it appropriate to impose a penalty of INR 10,00,000/- (INR ten lakh only) on FCEL. 16. FCEL shall pay the penalty within sixty (60) days from the date of receipt of this order. 17. The Secretary is dir",Proceedings under Section 43A of the Act 5,".]. However, considering the totality of the facts of the case and explanation given by the Parties, the Commission deemed it appropriate to impose a penalty of INR 10,00,000/- (INR ten lakh only) on FCEL. 16. FCEL shall pay the penalty within sixty (60) days from the date of receipt of this order. 17. The Secretary is dir",,,,,,,,No,3,"Also, FCEL has given effect to the said combination prior to statutory timelines of two hundred and ten days. 9. In view of the above, the Commission was of the prima facie opinion that FCEL not only failed to give notice of the combination within the time stipulated under sub-section (2) of Section 6 of the Act but also consummated the same, in contravention of sub-section (2) of Section 6 read with sub-section (2A)",
CCI-1123,Acquisition,Pre-closing consummation,"The Commission observed that the Parties had not consummated the transaction before an order under Section 31 of the Act was passed, which, at best, can be taken as a mitigating factor to be considered while imposing monetary penalty",Pre-closing consummation,,,mitigating factor to be considered while imposing monetary penalty.,,"imposed. However, considering the totality of the facts of the case and explanation given by Avago, the Commission deemed it appropriate to impose a penalty of INR 10,00,000/- lakh (INR ten lakh only) on Avago. 14. Avago shall pay the penalty within sixty (60) days from the date of receipt of this order. 15. The Secretary",Proceedings under Section 43A of the Act 4,"imposed. However, considering the totality of the facts of the case and explanation given by Avago, the Commission deemed it appropriate to impose a penalty of INR 10,00,000/- lakh (INR ten lakh only) on Avago. 14. Avago shall pay the penalty within sixty (60) days from the date of receipt of this order. 15. The Secretary",,123,,,Yes,,,No,7,"re is any AAEC or not, mandatory regime for notifying a combination to the Commission. Fair Competition For Greater Good C-2015/09/312 Page 7 of 7 11. The Commission observed that the Parties had not consummated the transaction before an order under Section 31 of the Act was passed, which, at best, can be taken as a mitigating factor to be considered while imposing monetary penalty. 12. In view of the foregoing, it emerges that Av",
